kind,group,id,name_zh,path,bytes,sha256,native_name_matches,native_check
metadata_or_generator,VillageKit,catalog,catalog,ThreeHearthsVillage/Art/VillageKit/catalog.json,26079,6d01d378ea21b20583597b6e092f2c4bdb0ef4aebef2295e1ac59728b0f8b8fa,,
metadata_or_generator,VillageKit,construction-plans,construction-plans,ThreeHearthsVillage/Art/VillageKit/construction-plans.json,350065,ff47613404437b145be7097fa3ad20f44bd913c0d509e04f586de6a4b4dee4d7,,
metadata_or_generator,VillageKit,create_village_kit,create_village_kit,ThreeHearthsVillage/Art/VillageKit/create_village_kit.py,37251,8b1f1e46ed6bc07bea64d75d37b57a63b3a81dbc11e577027c5564416b4eada3,,
metadata_or_generator,VillageKit,example-assemblies,example-assemblies,ThreeHearthsVillage/Art/VillageKit/example-assemblies.json,49708,4e5c31fbcae54bbb2177c825609573661acf68dce27074cb05d69dd6f6ac3cac,,
metadata_or_generator,VillageKit,example-layouts,example-layouts,ThreeHearthsVillage/Art/VillageKit/example-layouts.json,59799,3a18488b1b4024f5a68e0221c1038248dfaea03707dd0cff5a80a29281812e9a,,
assembly,VillageKit,cottage_terracotta,红陶瓦灰泥小屋组合,ThreeHearthsVillage/Art/VillageKit/examples/cottage_terracotta.glb,866940,ebb2442fd54583441a1ee6d0a46d5fabebc36501f1045e4f567af20ecc14d94c,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/example__cottage_terracotta/cottage_terracotta.uasset,发现同名UE原生包；不等于已接入玩法
assembly,VillageKit,longhouse_slateblue,蓝灰瓦木长屋组合,ThreeHearthsVillage/Art/VillageKit/examples/longhouse_slateblue.glb,1034340,0a8b2d954f564f70b53011bdf9450ed79ed507449ffcea6d7b7595688cf696d2,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/example__longhouse_slateblue/longhouse_slateblue.uasset,发现同名UE原生包；不等于已接入玩法
assembly,VillageKit,townhouse_terracotta,红陶瓦双层石屋组合,ThreeHearthsVillage/Art/VillageKit/examples/townhouse_terracotta.glb,1776520,da995b3ff77d493b36da0e5add51fda7b4268e44850e4cd3dbfd5441f95399b3,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/example__townhouse_terracotta/townhouse_terracotta.uasset,发现同名UE原生包；不等于已接入玩法
metadata_or_generator,VillageKit,model-report,model-report,ThreeHearthsVillage/Art/VillageKit/model-report.json,25947,add94ea82e6ae7d68805474ae4c8f7d4504ac3ef5f90cd4b0895013aab181c17,,
metadata_or_generator,VillageKit,module-specs,module-specs,ThreeHearthsVillage/Art/VillageKit/module-specs.json,6725,42c5d81a64a7c0a7c016694664d38b2987fc7f7b2ae407f02f2fd4e2ead88a08,,
module,VillageKit,beam_timber_2m,2米木梁,ThreeHearthsVillage/Art/VillageKit/modules/beam_timber_2m.glb,8940,86f7356e44f90871e163b2f6e798652fb5962425c07a2b788b1336f188dcd921,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/beam_timber_2m/beam_timber_2m.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,bench_timber,木长凳,ThreeHearthsVillage/Art/VillageKit/modules/bench_timber.glb,39632,8c65e74f06cabf3c77787901dba62b8aaf5fef58d104c230ba3adc27cbf84db5,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/bench_timber/bench_timber.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,canopy_slateblue_2m,蓝灰瓦雨棚,ThreeHearthsVillage/Art/VillageKit/modules/canopy_slateblue_2m.glb,88556,d7f1a849578fbefd9e4e2ba71627c8d4b8484979798a66092572148659f29924,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/canopy_slateblue_2m/canopy_slateblue_2m.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,canopy_terracotta_2m,红陶瓦雨棚,ThreeHearthsVillage/Art/VillageKit/modules/canopy_terracotta_2m.glb,88560,7a4b6d1fa6f9a0d20d2d5deedd0aafe5a1bceb4a8ad27d0010aa5f432e6ad038,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/canopy_terracotta_2m/canopy_terracotta_2m.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,carry_logs,搬运原木包,ThreeHearthsVillage/Art/VillageKit/modules/carry_logs.glb,194728,22081c8c7a4dc62d972524b6d262d852e9e597f659581cafc766285e71dc042e,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/carry_logs/carry_logs.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,carry_planks,搬运木板包,ThreeHearthsVillage/Art/VillageKit/modules/carry_planks.glb,94020,7e6408af8b50f96b9a3bd01f33fc3ddc0be6fdfa0c5feed648e24bec205d4ed2,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/carry_planks/carry_planks.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,carry_plaster,搬运灰浆桶,ThreeHearthsVillage/Art/VillageKit/modules/carry_plaster.glb,78048,7c00072f4d4aea9183116cbac1aad08f5c6d976a5f7b91885921126557ef1177,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/carry_plaster/carry_plaster.uasset,发现同名UE原生包；不等于已接入玩法
module,VillageKit,carry_stones,搬运石料箱,ThreeHearthsVillage/Art/VillageKit/modules/carry_stones.glb,128664,e47d231ca303d807b9c40ca6a08d4c86ee78bb34207ca0f71d46f01a0426abbe,ThreeHearthsVillage/Content/ThreeHearths/Generated/VillageKit/carry_stones/carry_stones.uasset,发现同名UE原生包；不等于已接入玩法
